slice_value,n_samples,precision,recall,fbeta
 Private,4542,0.7431551499348109,0.5931321540062435,0.6597222222222222
 ?,366,0.6818181818181818,0.4411764705882353,0.5357142857142857
 Federal-gov,195,0.7027027027027027,0.7428571428571429,0.7222222222222223
 State-gov,249,0.76,0.7037037037037037,0.7307692307692308
 Self-emp-not-inc,502,0.8191489361702128,0.5539568345323741,0.6609442060085837
 Self-emp-inc,247,0.8013245033112583,0.8705035971223022,0.8344827586206897
 Local-gov,408,0.6938775510204082,0.591304347826087,0.6384976525821596
 Without-pay,3,0.0,0.0,0.0
 Never-worked,1,0.0,0.0,0.0
slice_value,n_samples,precision,recall,fbeta
 HS-grad,2117,0.672316384180791,0.36503067484662577,0.4731610337972167
 Assoc-voc,279,0.7391304347826086,0.4533333333333333,0.5619834710743801
 Masters,317,0.7967914438502673,0.9030303030303031,0.8465909090909092
 Bachelors,1016,0.7637614678899083,0.785377358490566,0.7744186046511627
 Some-college,1483,0.6490384615384616,0.47202797202797203,0.5465587044534413
 11th,245,1.0,0.23529411764705882,0.38095238095238093
 Assoc-acdm,219,0.6744186046511628,0.6170212765957447,0.6444444444444444
 12th,98,1.0,0.3333333333333333,0.5
 Prof-school,103,0.8780487804878049,0.9473684210526315,0.9113924050632912
 10th,198,1.0,0.26666666666666666,0.4210526315789474
 9th,121,0.0,0.0,0.0
 1st-4th,36,0.0,0.0,0.0
 5th-6th,67,0.0,0.0,0.0
 Doctorate,75,0.9230769230769231,0.967741935483871,0.9448818897637796
 Preschool,13,0.0,0.0,0.0
 7th-8th,126,0.0,0.0,0.0
slice_value,n_samples,precision,recall,fbeta
 Widowed,189,1.0,0.15384615384615385,0.2666666666666667
 Married-spouse-absent,87,0.75,0.5,0.6
 Divorced,905,0.8709677419354839,0.3103448275862069,0.4576271186440678
 Never-married,2136,1.0,0.38823529411764707,0.5593220338983051
 Married-civ-spouse,2978,0.7385786802030457,0.665903890160183,0.7003610108303249
 Separated,216,0.75,0.3333333333333333,0.46153846153846156
 Married-AF-spouse,2,0.0,0.0,0.0
slice_value,n_samples,precision,recall,fbeta
 Transport-moving,331,0.6875,0.19298245614035087,0.30136986301369867
 ?,367,0.6818181818181818,0.4411764705882353,0.5357142857142857
 Craft-repair,835,0.7333333333333333,0.39690721649484534,0.5150501672240803
 Prof-specialty,750,0.776566757493188,0.8382352941176471,0.8062234794908062
 Tech-support,183,0.6521739130434783,0.6122448979591837,0.631578947368421
 Other-service,614,1.0,0.24,0.3870967741935484
 Sales,770,0.6978021978021978,0.6414141414141414,0.6684210526315789
 Farming-fishing,201,0.625,0.20833333333333334,0.3125
 Handlers-cleaners,265,1.0,0.3333333333333333,0.5
 Exec-managerial,812,0.7983425414364641,0.7789757412398922,0.7885402455661665
 Machine-op-inspct,432,0.6666666666666666,0.2222222222222222,0.3333333333333333
 Adm-clerical,782,0.6235294117647059,0.4953271028037383,0.5520833333333334
 Protective-serv,138,0.7714285714285715,0.574468085106383,0.6585365853658536
 Priv-house-serv,30,0.0,0.0,0.0
 Armed-Forces,3,0.0,0.0,0.0
slice_value,n_samples,precision,recall,fbeta
 Unmarried,725,0.9,0.21428571428571427,0.3461538461538461
 Not-in-family,1664,0.9166666666666666,0.3691275167785235,0.5263157894736842
 Wife,298,0.6976744186046512,0.6338028169014085,0.6642066420664208
 Husband,2631,0.7435653002859867,0.6729939603106126,0.7065217391304348
 Own-child,1012,1.0,0.5,0.6666666666666666
 Other-relative,183,0.6666666666666666,0.2,0.30769230769230765
slice_value,n_samples,precision,recall,fbeta
 White,5568,0.7537248028045574,0.6231884057971014,0.6822689408964696
 Black,633,0.7666666666666667,0.5822784810126582,0.6618705035971223
 Asian-Pac-Islander,194,0.6444444444444445,0.6904761904761905,0.6666666666666666
 Other,52,0.6666666666666666,0.5,0.5714285714285715
 Amer-Indian-Eskimo,66,0.5714285714285714,0.5714285714285714,0.5714285714285714
slice_value,n_samples,precision,recall,fbeta
 Male,4357,0.751131221719457,0.6389530408006159,0.6905158069883527
 Female,2156,0.7350993377483444,0.5211267605633803,0.6098901098901098
slice_value,n_samples,precision,recall,fbeta
 United-States,5865,0.7530541012216405,0.6195262024407753,0.6797951949586452
 Canada,31,0.7,0.5384615384615384,0.608695652173913
 Jamaica,17,0.3333333333333333,0.5,0.4
 ?,99,0.7916666666666666,0.7037037037037037,0.7450980392156864
 China,18,0.6666666666666666,0.8,0.7272727272727272
 Philippines,37,0.6666666666666666,0.75,0.7058823529411765
 El-Salvador,25,0.0,0.0,0.0
 Mexico,125,0.6666666666666666,0.2857142857142857,0.4
 South,18,0.6666666666666666,0.5,0.5714285714285715
 Cuba,15,1.0,0.6666666666666666,0.8
 India,19,0.45454545454545453,1.0,0.625
 Dominican-Republic,12,0.0,0.0,0.0
 Laos,5,0.5,1.0,0.6666666666666666
 Scotland,2,0.0,0.0,0.0
 Puerto-Rico,34,1.0,0.3333333333333333,0.5
 Guatemala,12,0.0,0.0,0.0
 Haiti,11,0.0,0.0,0.0
 Italy,13,0.5,0.5,0.5
 Poland,9,1.0,0.5,0.6666666666666666
 Taiwan,9,1.0,0.75,0.8571428571428571
 Japan,6,0.75,1.0,0.8571428571428571
 Germany,28,0.6666666666666666,0.5714285714285714,0.6153846153846153
 Outlying-US(Guam-USVI-etc),4,0.0,0.0,0.0
 Ireland,4,1.0,1.0,1.0
 Greece,9,0.6666666666666666,0.6666666666666666,0.6666666666666666
 England,15,1.0,0.8,0.888888888888889
 Portugal,6,0.0,0.0,0.0
 Iran,3,1.0,1.0,1.0
 Thailand,3,0.0,0.0,0.0
 Honduras,5,1.0,1.0,1.0
 Trinadad&Tobago,5,0.0,0.0,0.0
 Hungary,2,0.0,0.0,0.0
 France,5,1.0,1.0,1.0
 Columbia,7,0.0,0.0,0.0
 Cambodia,3,0.0,0.0,0.0
 Ecuador,5,0.5,1.0,0.6666666666666666
 Peru,4,0.0,0.0,0.0
 Vietnam,11,0.0,0.0,0.0
 Nicaragua,6,0.0,0.0,0.0
 Hong,4,0.0,0.0,0.0
